,individual,language_indiv,filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,correct_answer,binarized_answer,nb_stimuli,TGT_first_code,language_indiv_code,language_stimuli,language_stimuli_code
0,0,french,BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,2,1,0,1,1,BR,2
1,0,french,ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,3,1,1,0,1,ES,6
2,0,french,FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,1,1,2,0,1,FR,0
3,0,french,EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,-3,-1,3,1,1,EN,1
4,0,french,TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,1,4,1,1,TU,5
5,0,french,GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,2,1,5,0,1,GR,3
6,0,french,GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,2,1,6,1,1,GL,4
7,0,french,BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,2,1,7,0,1,BR,2
8,0,french,GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,-3,-1,8,1,1,GR,3
9,0,french,FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,3,1,9,0,1,FR,0
10,0,french,BR_TRIP36051_0,ɛ,e,t,ʃ,BR366,BR370,BR443,BR-participant4,BR-participant3,False,2,1,10,0,1,BR,2
11,0,french,EN_TRIP17558_0,ɑ,u,z,f,EN2723,EN2756,EN775,EN-participant8,EN-participant4,False,3,1,11,0,1,EN,1
12,0,french,ES_TRIP21960_0,a:,ɤ:,m,v,ES140,ES79,ES11,ES-participant4,ES-participant2,False,1,1,12,0,1,ES,6
13,0,french,BR_TRIP60069_1,ũ,ĩ,s,t,BR672,BR849,BR28,BR-participant1,BR-participant2,True,-2,-1,13,1,1,BR,2
14,0,french,TU_TRIP11912_1,ɯ,i,t,s,TU241,TU255,TU129,TU-participant1,TU-participant4,True,2,1,14,1,1,TU,5
15,0,french,FR_TRIP26963_0,œ,o,z,b,FR3364,FR3259,FR182,FR-participant7,FR-participant6,False,3,1,15,0,1,FR,0
16,0,french,EN_TRIP22762_1,ɑ,ʌ,z,f,EN552,EN459,EN1927,EN-participant2,EN-participant7,True,2,1,16,1,1,EN,1
17,0,french,GR_TRIP61577_1,ʏ,aː,f,s,GR268,GR317,GR621,GR-participant4,GR-participant1,True,2,1,17,1,1,GR,3
18,0,french,ES_TRIP33498_1,i:,y:,l,s,ES221,ES234,ES293,ES-participant1,ES-participant5,True,1,1,18,1,1,ES,6
19,0,french,BR_TRIP20451_0,i,e,s,p,BR499,BR445,BR329,BR-participant3,BR-participant4,False,1,1,19,0,1,BR,2
20,0,french,FR_TRIP30446_0,ɔ,u,f,f,FR2910,FR3169,FR2668,FR-participant7,FR-participant1,False,-2,-1,20,0,1,FR,0
21,0,french,GL_TRIP1354_1,aː,a,g,g,GLO50,GLO156,GLO150,S04F,S03M,True,2,1,21,1,1,GL,4
22,0,french,BR_TRIP25897_1,ẽ,õ,m,d,BR1024,BR890,BR773,BR-participant5,BR-participant1,True,3,1,22,1,1,BR,2
23,0,french,TU_TRIP5964_0,ɯ,y,p,t,TU188,TU170,TU24,TU-participant3,TU-participant2,False,-2,-1,23,0,1,TU,5
24,0,french,GR_TRIP66209_0,yː,øː,l,t,GR379,GR309,GR493,GR-participant4,GR-participant3,False,-2,-1,24,0,1,GR,3
25,0,french,ES_TRIP26801_1,ɤ:,i:,m,v,ES184,ES185,ES55,ES-participant3,ES-participant2,True,3,1,25,1,1,ES,6
26,0,french,GR_TRIP20981_1,ʏ,ɪ,f,s,GR397,GR404,GR115,GR-participant3,GR-participant6,True,3,1,26,1,1,GR,3
27,0,french,EN_TRIP15269_0,ʊ,ʌ,t,s,EN2689,EN2733,EN1681,EN-participant8,EN-participant1,False,-1,-1,27,0,1,EN,1
28,0,french,BR_TRIP66574_1,i,ɛ,d,s,BR758,BR748,BR993,BR-participant1,BR-participant5,True,2,1,28,1,1,BR,2
29,0,french,FR_TRIP18983_0,e,ɛ,z,b,FR1914,FR1812,FR1623,FR-participant3,FR-participant4,False,3,1,29,0,1,FR,0
30,0,french,EN_TRIP3200_1,u,ʊ,z,f,EN47,EN207,EN1866,EN-participant6,EN-participant1,True,3,1,30,1,1,EN,1
31,0,french,BR_TRIP58975_0,ĩ,e,s,p,BR647,BR735,BR558,BR-participant1,BR-participant3,False,-2,-1,31,0,1,BR,2
32,0,french,BR_TRIP18676_1,õ,ɔ,k,s,BR514,BR603,BR653,BR-participant3,BR-participant1,True,2,1,32,1,1,BR,2
33,0,french,ES_TRIP9599_0,ø:,æ:,s,t,ES297,ES301,ES189,ES-participant5,ES-participant3,False,3,1,33,0,1,ES,6
34,0,french,FR_TRIP17398_1,ø,ɔ,z,f,FR1834,FR2219,FR3968,FR-participant3,FR-participant5,True,2,1,34,1,1,FR,0
35,0,french,GR_TRIP8946_0,aː,yː,f,t,GR202,GR134,GR19,GR-participant2,GR-participant6,False,3,1,35,0,1,GR,3
36,0,french,BR_TRIP46922_1,ĩ,õ,s,t,BR265,BR275,BR159,BR-participant4,BR-participant2,True,1,1,36,1,1,BR,2
37,0,french,GL_TRIP1774_0,e,ɛ,p,p,GLO86,GLO160,GLO2,S02M,S03M,False,3,1,37,0,1,GL,4
38,0,french,BR_TRIP13188_1,ɐ̃,a,t,t,BR539,BR627,BR675,BR-participant3,BR-participant1,True,3,1,38,1,1,BR,2
39,0,french,TU_TRIP3761_0,y,i,f,z,TU167,TU177,TU257,TU-participant3,TU-participant1,False,1,1,39,0,1,TU,5
40,0,french,EN_TRIP6872_1,eɪ,ɛ,z,b,EN1950,EN2085,EN1009,EN-participant7,EN-participant4,True,-2,-1,40,1,1,EN,1
41,0,french,FR_TRIP8045_0,i,e,z,f,FR780,FR868,FR2450,FR-participant2,FR-participant1,False,3,1,41,0,1,FR,0
42,0,french,GR_TRIP51064_1,yː,uː,z,t,GR43,GR14,GR553,GR-participant6,GR-participant1,True,3,1,42,1,1,GR,3
43,0,french,ES_TRIP8284_0,y:,ø:,l,s,ES69,ES18,ES126,ES-participant2,ES-participant4,False,2,1,43,0,1,ES,6
44,0,french,BR_TRIP16561_1,ẽ,ũ,m,d,BR553,BR520,BR303,BR-participant3,BR-participant4,True,3,1,44,1,1,BR,2
45,0,french,TU_TRIP8718_0,y,œ,d,ʃ,TU8,TU40,TU83,TU-participant2,TU-participant4,False,3,1,45,0,1,TU,5
46,0,french,FR_TRIP30693_1,ɛ̃,ɛ,f,f,FR3111,FR2928,FR1157,FR-participant7,FR-participant4,True,3,1,46,1,1,FR,0
47,0,french,ES_TRIP10681_0,y:,ɤ:,s,t,ES312,ES298,ES228,ES-participant5,ES-participant1,False,3,1,47,0,1,ES,6
48,0,french,EN_TRIP37444_1,i,ɪ,f,s,EN1899,EN1763,EN2503,EN-participant1,EN-participant5,True,3,1,48,1,1,EN,1
49,0,french,GR_TRIP72609_0,øː,ʏ,ts,k,GR761,GR670,GR524,GR-participant5,GR-participant1,False,-1,-1,49,0,1,GR,3
50,0,french,FR_TRIP76116_1,ɔ,œ,f,f,FR3609,FR3566,FR2004,FR-participant5,FR-participant3,True,-2,-1,50,1,1,FR,0
51,0,french,EN_TRIP2900_0,æ,ʌ,z,b,EN261,EN364,EN980,EN-participant6,EN-participant4,False,-2,-1,51,0,1,EN,1
52,0,french,TU_TRIP3503_0,u,ɯ,f,z,TU191,TU172,TU246,TU-participant3,TU-participant1,False,1,1,52,0,1,TU,5
53,0,french,BR_TRIP36955_1,o,ɔ,t,f,BR220,BR341,BR1003,BR-participant4,BR-participant5,True,-2,-1,53,1,1,BR,2
54,0,french,GR_TRIP61692_0,ʏ,ʊ,f,s,GR326,GR348,GR548,GR-participant4,GR-participant1,False,-2,-1,54,0,1,GR,3
55,0,french,GL_TRIP1523_1,i,ɛ,f,f,GLO84,GLO143,GLO58,S04F,S05M,True,3,1,55,1,1,GL,4
56,0,french,BR_TRIP38638_0,ũ,õ,k,b,BR278,BR423,BR902,BR-participant4,BR-participant5,False,3,1,56,0,1,BR,2
57,0,french,BR_TRIP7706_0,ẽ,ɐ̃,l,s,BR143,BR138,BR839,BR-participant2,BR-participant1,False,3,1,57,0,1,BR,2
58,0,french,ES_TRIP16504_1,ø:,ɤ:,m,v,ES339,ES328,ES255,ES-participant5,ES-participant1,True,-2,-1,58,1,1,ES,6
59,0,french,GR_TRIP55733_0,iː,ɪ,ɡ,s,GR276,GR303,GR488,GR-participant4,GR-participant3,False,-1,-1,59,0,1,GR,3
60,0,french,FR_TRIP8096_0,o,ɔ,z,f,FR803,FR1021,FR1644,FR-participant2,FR-participant4,False,-2,-1,60,0,1,FR,0
61,0,french,GR_TRIP6830_1,yː,iː,f,t,GR180,GR174,GR764,GR-participant2,GR-participant5,True,3,1,61,1,1,GR,3
62,0,french,BR_TRIP14438_0,ɐ̃,ĩ,z,b,BR617,BR504,BR763,BR-participant3,BR-participant1,False,1,1,62,0,1,BR,2
63,0,french,ES_TRIP13567_1,æ:,y:,l,s,ES307,ES294,ES271,ES-participant5,ES-participant1,True,3,1,63,1,1,ES,6
64,0,french,EN_TRIP22922_0,ɪ,ʊ,z,f,EN720,EN651,EN2197,EN-participant2,EN-participant7,False,1,1,64,0,1,EN,1
