filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,mfcc_dtw_cosine_distance_tgt,mfcc_dtw_cosine_distance_oth,fb_dtw_cosine_distance_tgt,fb_dtw_cosine_distance_oth,mfccs_window5_cosine_distance_tgt,mfcc_window5_cosine_distance_oth,fb_window5_cosine_distance_tgt,fb_window5_cosine_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.0596765875816345,0.050298273563385,0.1053231880068779,0.080417014658451,0.36635622,0.31883404,0.42905983,0.47487715
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.0409498810768127,0.0804119631648063,0.1256230473518371,0.1438184678554535,0.07887289,0.13874987,0.25320974,0.21771501
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.0506396405398845,0.0599308386445045,0.1344326138496399,0.1438667774200439,0.030520754,0.04704551,0.16266456,0.19793743
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.0442166365683078,0.0694589242339134,0.1134787574410438,0.148877665400505,0.058976013,0.1321625,0.19860709,0.3808441
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.0516433827579021,0.0388043075799942,0.0737118348479271,0.0675733536481857,0.051446147,0.036354184,0.11378165,0.09769539
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.0334287136793136,0.0409652069211006,0.052526120096445,0.0386590734124183,0.060289074,0.066856556,0.08578425,0.05738282
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.0108960876241326,0.0128565616905689,0.0276436954736709,0.0337730757892131,0.094878495,0.23517647,0.31746522,0.3900543
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.0605953335762023,0.0496010780334472,0.109205849468708,0.0862634852528572,0.079429954,0.057914574,0.27451712,0.21411365
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.0298467241227626,0.0269313249737024,0.051299825310707,0.0465432591736316,0.036018055,0.053009756,0.079968475,0.106071554
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.0199869349598884,0.020562570542097,0.0660725161433219,0.0659129470586776,0.032662805,0.046670154,0.19108804,0.14209796
BR_TRIP36051_0,ɛ,e,t,ʃ,BR366,BR370,BR443,BR-participant4,BR-participant3,False,0,BR,2,0.1140719279646873,0.0814217776060104,0.2510219216346741,0.1776015311479568,0.107481055,0.027892286,0.59966767,0.28396907
EN_TRIP17558_0,ɑ,u,z,f,EN2723,EN2756,EN775,EN-participant8,EN-participant4,False,0,EN,1,0.0230111815035343,0.0518806092441082,0.0571180172264575,0.1062687113881111,0.032043546,0.07537174,0.17041263,0.2759389
ES_TRIP21960_0,a:,ɤ:,m,v,ES140,ES79,ES11,ES-participant4,ES-participant2,False,0,ES,6,0.0572450645267963,0.031734112650156,0.1467268764972686,0.120448425412178,0.07400178,0.099832796,0.20507286,0.21858047
