individual,language_indiv,filename,file_origin,onset,offset,#phone,prev_phone,next_phone,speaker,assimilation,grade,code_assim,nb_stimuli,language_indiv_code,language_stimuli,language_stimuli_code
0,french,FR4446,participant8/participant8_fr12,35.97,36.51,œ,z,b,FR-participant8,œ,3,6,0,1,FR,0
0,french,BR7,participant2/participant2_br3,18.53,19.15,ɐ̃,m,d,BR-participant2,ɛ̃,1,10,1,1,BR,2
0,french,FR-participant4_sɔk,participant4/participant4_fr20,15.31,15.86,ɔ,s,k,FR-participant4,ɔ,1,9,2,1,FR,0
0,french,EN935,participant4/participant4_en8,30.09,30.49,oʊ,k,b,EN-participant4,ɔ,0,9,3,1,EN,1
0,french,GR519,participant1/participant1_ger4,10.66350,11.06000,øː,l,t,GR-participant1,ø,3,5,4,1,GR,3
0,french,FR-participant6_kɛf,participant6/participant6_fr8,6.08,6.38,ɛ,k,f,FR-participant6,ɛ,2,4,5,1,FR,0
0,french,GLO52,S05M_L086_V6_M1_N3_CS0,NA,NA,ɛ,p,p,S05M,œ,1,6,6,1,GL,4
0,french,ES352,participant5/participant5_est5,17.38,18.17,ɤ:,m,v,ES-participant5,u,3,2,7,1,ES,6
0,french,FR-participant4_kef,participant4/participant4_fr7,11.63,12.18,e,k,f,FR-participant4,e,1,3,8,1,FR,0
0,french,FR3732,participant5/participant5_fr20,32.57,33.1,ɔ̃,f,f,FR-participant5,ɔ̃,3,11,9,1,FR,0
0,french,TU165,participant3/participant3_tur1,3.64,3.95,i,t,s,TU-participant3,i,1,0,10,1,TU,5
0,french,FR-participant5_køs,participant5/participant5_fr9,26.81,27.42,ø,k,s,FR-participant5,ø,2,5,11,1,FR,0
0,french,BR810,participant1/participant1_br1,12.62,13.12,ɛ,t,t,BR-participant1,ɛ,3,4,12,1,BR,2
0,french,EN1654,participant1/participant1_en18,6.21,6.69,æ,f,s,EN-participant1,a,1,7,13,1,EN,1
0,french,FR-participant6_sœt,participant6/participant6_fr13,3.96758,4.50847,œ,s,t,FR-participant6,œ,3,6,14,1,FR,0
0,french,FR794,participant2/participant2_fr13,5.59,5.98,u,ʃ,v,FR-participant2,u,3,2,15,1,FR,0
0,french,GR107,participant6/participant6_ger1,6.28,6.74,aː,b,s,GR-participant6,a,1,7,16,1,GR,3
0,french,FR-participant3_søt,participant3/participant3_fr12,5.66,6.41,ø,s,t,FR-participant3,ø,3,5,17,1,FR,0
0,french,BR997,participant5/participant5_br2,9.92,10.42,ɔ,z,f,BR-participant5,ɔ,4,9,18,1,BR,2
0,french,GLO80,S07F_L121_V6_M1_N3_CS0,NA,NA,e,g,g,S07F,e,1,3,19,1,GL,4
0,french,FR-participant3_fœt,participant3/participant3_fr13,38.57496,39.05,œ,f,t,FR-participant3,œ,2,6,20,1,FR,0
0,french,ES51,participant2/participant2_est5,7.8,8.32,y:,k,r,ES-participant2,y,1,1,21,1,ES,6
0,french,EN144,participant6/participant6_en15,10.84,11.43,ɛ,z,f,EN-participant6,œ,0,6,22,1,EN,1
0,french,FR-participant8_dɛs,participant8/participant8_fr10,42.41,43.22,ɛ,d,s,FR-participant8,ɛ,3,4,23,1,FR,0
